'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for SUNSHINE COAST AIRPORT Queensland for April 2019,,,,,,,,,,
Issued at 22:31 GMT on Saturday 06 April 2019,,,,,,,,,,
© Copyright Commonwealth of Australia 2019 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
SUNSHINE COAST AIRPORT,30/03/2019,2.0,0.6, ,27.5,23.0,99,78,4.62,6.40
SUNSHINE COAST AIRPORT,31/03/2019,4.7,6.8, ,25.3,14.1,99,36,4.00,21.94
SUNSHINE COAST AIRPORT,01/04/2019,4.5,0.0, ,26.2,16.0,90,46,5.47,16.65
SUNSHINE COAST AIRPORT,02/04/2019,4.7,0.0, ,27.2,18.8,90,57,6.30,19.86
SUNSHINE COAST AIRPORT,03/04/2019,3.1,33.8, ,25.6,19.1,96,72,6.13,14.33
SUNSHINE COAST AIRPORT,04/04/2019,3.4,16.6, ,25.5,19.2,94,65,5.83,13.38
SUNSHINE COAST AIRPORT,05/04/2019,4.1,17.0, ,25.3,18.3,91,47,5.19,14.21
Totals:,,26.5,74.8, ,,,,,, 
