Date/Time,Hs,Hmax,Tz,Tp,Peak Direction,SST
1/1/2018 0:00,0.527,0.82,4.862,9.1,70,26.55
1/1/2018 0:30,0.529,0.85,4.833,9.424,83,26.55
1/1/2018 1:00,0.499,0.81,4.921,9.396,71,26.55
1/1/2018 1:30,0.493,0.91,4.728,9.673,74,26.5
1/1/2018 2:00,0.5,0.81,5.061,10.731,74,26.45
1/1/2018 2:30,0.513,0.77,5.206,9.677,78,26.55
1/1/2018 3:00,0.484,0.87,5.036,9.711,90,26.5
1/1/2018 3:30,0.458,0.87,4.933,4.475,80,26.55
1/1/2018 4:00,0.45,0.74,5.326,7.546,92,26.5
1/1/2018 4:30,0.43,0.68,4.976,10.432,77,26.4
1/1/2018 5:00,0.434,0.8,4.889,8.864,90,26.35
1/1/2018 5:30,0.413,0.66,4.961,9.348,71,26.25
1/1/2018 6:00,0.44,0.65,5.212,9.87,80,26.2
1/1/2018 6:30,0.429,0.72,5.305,10.755,75,26.2
1/1/2018 7:00,0.422,0.67,5.435,10.08,75,26.2
1/1/2018 7:30,0.407,0.66,5.31,8.931,78,26.15
1/1/2018 8:00,0.418,0.7,5.039,5.796,73,26.15
1/1/2018 8:30,0.437,0.64,4.93,6.771,74,26.2
1/1/2018 9:00,0.43,0.74,4.853,9.603,81,26.2
1/1/2018 9:30,0.454,0.76,4.914,6.797,70,26.25
1/1/2018 10:00,0.449,0.7,4.894,9.359,73,26.35
1/1/2018 10:30,0.451,0.88,5.035,9.634,57,26.5
1/1/2018 11:00,0.459,0.83,4.74,12.855,64,26.6
1/1/2018 11:30,0.476,0.79,4.769,8.952,80,26.65
1/1/2018 12:00,0.497,0.89,4.439,11.348,63,26.55
1/1/2018 12:30,0.482,0.76,4.308,11.4,60,26.4
1/1/2018 13:00,0.512,0.88,4.133,9.319,75,25.7
1/1/2018 13:30,0.513,0.8,3.913,6.568,85,25.5
1/1/2018 14:00,0.517,0.81,3.844,11.075,85,25.55
1/1/2018 14:30,0.551,0.95,3.86,9.327,88,25.65
1/1/2018 15:00,0.549,1.12,3.772,11.408,63,25.75
1/1/2018 15:30,0.559,0.96,3.67,10.447,75,25.65
1/1/2018 16:00,0.574,1.02,3.828,9.843,90,25.65
