Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
2019-01-01 00:00:00,1.259,2.070,8.787,5.219,64.00,25.700
2019-01-01 00:30:00,1.307,2.130,8.293,5.400,67.00,25.650
2019-01-01 01:00:00,1.334,2.040,8.868,5.266,67.00,25.650
2019-01-01 01:30:00,1.418,2.370,8.884,5.263,59.00,25.600
2019-01-01 02:00:00,1.347,2.700,8.177,5.308,74.00,25.550
2019-01-01 02:30:00,1.368,2.140,7.540,5.539,67.00,25.550
2019-01-01 03:00:00,1.364,2.600,8.625,5.598,63.00,25.500
2019-01-01 03:30:00,1.434,2.280,8.862,5.832,59.00,25.450
2019-01-01 04:00:00,1.371,2.870,8.542,5.685,57.00,25.500
2019-01-01 04:30:00,1.375,2.670,8.578,6.232,60.00,25.450
2019-01-01 05:00:00,1.382,2.190,8.507,6.036,60.00,25.450
2019-01-01 05:30:00,1.352,2.000,8.477,5.872,66.00,25.450
2019-01-01 06:00:00,1.332,2.700,8.902,5.973,57.00,25.450
2019-01-01 06:30:00,1.325,2.030,8.529,6.015,66.00,25.500
2019-01-01 07:00:00,1.401,2.160,9.413,6.118,70.00,25.500
2019-01-01 07:30:00,1.435,2.870,8.144,5.962,64.00,25.500
2019-01-01 08:00:00,1.430,2.430,8.684,6.078,66.00,25.550
2019-01-01 08:30:00,1.344,2.340,8.450,5.789,68.00,25.550
2019-01-01 09:00:00,1.356,1.970,9.410,5.910,71.00,25.550
2019-01-01 09:30:00,1.432,2.300,8.789,5.959,64.00,25.650
2019-01-01 10:00:00,1.459,2.720,8.669,6.010,68.00,25.700
2019-01-01 10:30:00,1.385,2.460,9.141,5.724,70.00,25.800
2019-01-01 11:00:00,1.442,2.510,8.860,6.023,71.00,25.950
2019-01-01 11:30:00,1.363,2.140,9.156,5.850,68.00,26.050
2019-01-01 12:00:00,1.322,2.300,8.976,5.658,73.00,26.250
2019-01-01 12:30:00,1.268,2.510,8.943,5.666,67.00,26.450
2019-01-01 13:00:00,1.269,2.220,9.306,5.998,67.00,26.400
2019-01-01 13:30:00,1.220,2.020,9.363,5.861,67.00,26.500
2019-01-01 14:00:00,1.181,1.860,8.789,6.026,73.00,26.400
2019-01-01 14:30:00,1.350,2.300,8.816,6.223,71.00,26.400
2019-01-01 15:00:00,1.341,2.120,9.003,6.267,64.00,26.450
2019-01-01 15:30:00,1.236,1.830,8.579,6.335,68.00,26.450
2019-01-01 16:00:00,1.261,2.290,9.267,6.178,64.00,26.500
2019-01-01 16:30:00,1.298,1.950,8.948,6.019,64.00,26.400
2019-01-01 17:00:00,1.230,2.090,9.213,6.125,60.00,26.350
2019-01-01 17:30:00,1.175,2.280,8.921,6.080,66.00,26.300
2019-01-01 18:00:00,1.206,2.170,8.960,6.091,75.00,26.200
2019-01-01 18:30:00,1.213,1.920,8.628,6.257,67.00,26.100
2019-01-01 19:00:00,1.246,2.130,8.880,6.203,67.00,26.100
2019-01-01 19:30:00,1.230,1.830,8.925,6.027,70.00,26.150
2019-01-01 20:00:00,1.272,2.430,9.253,6.028,74.00,26.100
2019-01-01 20:30:00,1.153,1.960,8.569,5.479,78.00,26.100
2019-01-01 21:00:00,1.155,1.980,8.189,5.409,87.00,26.000
2019-01-01 21:30:00,1.215,1.980,8.852,5.677,71.00,25.950
2019-01-01 22:00:00,1.274,1.920,8.847,5.526,87.00,25.900
2019-01-01 22:30:00,1.192,2.220,9.257,5.513,80.00,25.850
2019-01-01 23:00:00,1.288,1.990,8.875,5.799,78.00,25.850
2019-01-01 23:30:00,1.217,1.800,9.277,5.702,75.00,25.850
2019-01-02 00:00:00,1.190,1.860,8.771,5.667,71.00,25.850
2019-01-02 00:30:00,1.115,1.830,8.175,5.312,73.00,25.800
2019-01-02 01:00:00,1.171,1.650,8.580,5.598,75.00,25.800
2019-01-02 01:30:00,1.159,1.810,8.472,5.411,71.00,25.850
2019-01-02 02:00:00,1.124,1.900,8.897,5.566,75.00,25.800
2019-01-02 02:30:00,1.134,1.880,8.897,5.325,66.00,25.800
2019-01-02 03:00:00,1.064,1.620,9.204,5.512,73.00,25.800
2019-01-02 03:30:00,1.072,1.800,8.853,5.525,66.00,25.800
2019-01-02 04:00:00,1.143,2.070,8.444,5.753,67.00,25.800
2019-01-02 04:30:00,1.109,1.750,7.757,5.931,68.00,25.800
2019-01-02 05:00:00,1.175,1.900,8.960,5.925,68.00,25.800
2019-01-02 05:30:00,1.130,1.980,7.865,5.877,75.00,25.800
2019-01-02 06:00:00,1.098,1.910,8.850,5.943,66.00,25.800
2019-01-02 06:30:00,1.208,2.110,9.310,6.061,74.00,25.800
2019-01-02 07:00:00,1.184,1.870,8.969,6.015,68.00,25.800
2019-01-02 07:30:00,1.078,2.090,9.319,5.523,73.00,25.850
2019-01-02 08:00:00,1.160,1.780,9.027,5.890,78.00,25.850
2019-01-02 08:30:00,1.160,1.860,8.514,5.867,78.00,25.900
2019-01-02 09:00:00,1.227,2.340,8.999,6.290,75.00,25.900
2019-01-02 09:30:00,1.280,1.810,9.366,6.210,78.00,25.950
2019-01-02 10:00:00,1.183,2.390,9.778,5.896,78.00,26.050
2019-01-02 10:30:00,1.276,2.270,9.296,5.907,74.00,26.150
2019-01-02 11:00:00,1.166,1.750,10.199,5.713,78.00,26.150
2019-01-02 11:30:00,1.201,1.830,9.345,5.772,74.00,26.200
2019-01-02 12:00:00,1.186,2.080,8.531,5.582,77.00,26.300
2019-01-02 12:30:00,1.168,2.030,9.049,5.803,77.00,26.400
2019-01-02 13:00:00,1.084,2.060,8.876,5.796,80.00,26.400
2019-01-02 13:30:00,1.079,1.800,8.902,5.419,73.00,26.450
2019-01-02 14:00:00,1.057,1.840,8.905,5.763,80.00,26.350
2019-01-02 14:30:00,1.021,1.730,8.954,5.740,77.00,26.450
2019-01-02 15:00:00,0.952,1.620,8.907,5.248,70.00,26.450
2019-01-02 15:30:00,1.065,1.810,9.319,5.773,64.00,26.450
2019-01-02 16:00:00,1.084,1.740,9.737,5.651,73.00,26.350
2019-01-02 16:30:00,1.064,1.840,8.894,5.716,68.00,26.300
2019-01-02 17:00:00,1.041,1.850,9.704,5.337,67.00,26.250
2019-01-02 17:30:00,1.032,1.790,8.554,5.632,64.00,26.250
2019-01-02 18:00:00,1.098,2.270,8.964,5.615,61.00,26.200
2019-01-02 18:30:00,1.093,2.040,8.554,5.393,70.00,26.150
