'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for September 2011,,,,,,,,,,
Issued at 22:35 GMT on Saturday 01 October 2011,,,,,,,,,,
© Copyright Commonwealth of Australia 2011 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/09/2011,3.9,0.0, ,21.5,15.7,84,57,5.16,20.97
CAPE MORETON LIGHTHOUSE,02/09/2011,4.1,0.0, ,20.1,16.5,86,59,9.76,20.78
CAPE MORETON LIGHTHOUSE,03/09/2011,4.8,0.0, ,20.1,15.6,82,46,12.33,16.23
CAPE MORETON LIGHTHOUSE,04/09/2011,4.5,0.0, ,20.9,15.3,85,48,10.03,17.03
CAPE MORETON LIGHTHOUSE,05/09/2011,4.2,2.4, ,20.7,15.1,92,55,10.58,20.64
CAPE MORETON LIGHTHOUSE,06/09/2011,4.2,0.0, ,22.0,16.9,85,59,7.84,20.22
CAPE MORETON LIGHTHOUSE,07/09/2011,3.6,0.0, ,23.2,16.2,93,65,3.44,21.84
CAPE MORETON LIGHTHOUSE,08/09/2011,3.9,0.0, ,22.3,16.6,93,58,4.40,22.07
CAPE MORETON LIGHTHOUSE,09/09/2011,3.4,0.0, ,21.1,18.9,96,56,9.91,10.45
CAPE MORETON LIGHTHOUSE,10/09/2011,5.8,4.2, ,18.2,11.2,60,29,9.10,23.29
CAPE MORETON LIGHTHOUSE,11/09/2011,5.7,0.0, ,22.0,11.6,64,27,5.80,23.60
CAPE MORETON LIGHTHOUSE,12/09/2011,4.9,0.0, ,19.6,12.7,80,34,7.03,21.24
CAPE MORETON LIGHTHOUSE,13/09/2011,4.0,10.2, ,19.8,13.1,98,49,8.01,21.11
CAPE MORETON LIGHTHOUSE,14/09/2011,4.4,0.0, ,21.6,14.1,82,54,5.51,23.46
CAPE MORETON LIGHTHOUSE,15/09/2011, ,0.0, ,23.9,14.6, , , ,24.14
CAPE MORETON LIGHTHOUSE,16/09/2011, ,0.0, , ,15.0, , , ,24.17
CAPE MORETON LIGHTHOUSE,17/09/2011, , , ,24.4, , , , ,23.97
CAPE MORETON LIGHTHOUSE,18/09/2011, ,0.0, , ,18.8, , , ,24.19
CAPE MORETON LIGHTHOUSE,19/09/2011, , , , , , , , ,23.96
CAPE MORETON LIGHTHOUSE,20/09/2011, , , ,22.2, , , , ,24.13
CAPE MORETON LIGHTHOUSE,21/09/2011,4.9,0.0, ,22.2,18.7,86,59,10.54,23.90
CAPE MORETON LIGHTHOUSE,22/09/2011,5.3,0.0, ,22.3,18.4,72,54,7.38,24.60
CAPE MORETON LIGHTHOUSE,23/09/2011,4.7,0.0, ,23.0,17.4,77,57,4.41,24.71
CAPE MORETON LIGHTHOUSE,24/09/2011,4.5,0.0, ,23.5,18.4,88,64,6.35,23.64
CAPE MORETON LIGHTHOUSE,25/09/2011,4.3,0.0, ,22.1,18.6,88,66,9.23,23.37
CAPE MORETON LIGHTHOUSE,26/09/2011,5.3,0.0, ,21.4,15.8,76,54,12.24,22.20
CAPE MORETON LIGHTHOUSE,27/09/2011,4.5,0.8, ,22.0,15.4,94,58,9.83,24.25
CAPE MORETON LIGHTHOUSE,28/09/2011, ,0.0, , ,17.3,70,53,5.63,20.24
CAPE MORETON LIGHTHOUSE,29/09/2011, , , , , ,85,68,10.15,7.22
CAPE MORETON LIGHTHOUSE,30/09/2011, ,0.2, ,22.8, ,86,35,5.84,26.74
Totals:,,94.9,17.8, ,,,,,, 
