'IDCKWCDE41,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE MORETON LIGHTHOUSE Queensland for March 2018,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 April 2018,,,,,,,,,,
© Copyright Commonwealth of Australia 2018 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE MORETON LIGHTHOUSE,01/03/2018, , , , , , , , ,26.29
CAPE MORETON LIGHTHOUSE,02/03/2018, , , , , , , , ,23.25
CAPE MORETON LIGHTHOUSE,03/03/2018, , , , , , , , ,21.17
CAPE MORETON LIGHTHOUSE,04/03/2018, , , , , , , , ,25.50
CAPE MORETON LIGHTHOUSE,05/03/2018, , , , , , , , ,10.00
CAPE MORETON LIGHTHOUSE,06/03/2018, , , , , , , , ,5.22
CAPE MORETON LIGHTHOUSE,07/03/2018, , , , , , , , ,12.69
CAPE MORETON LIGHTHOUSE,08/03/2018, , , , , , , , ,17.28
CAPE MORETON LIGHTHOUSE,09/03/2018, , , , , , , , ,19.64
CAPE MORETON LIGHTHOUSE,10/03/2018, , , , , , , , ,15.10
CAPE MORETON LIGHTHOUSE,11/03/2018, , , , , , , , ,14.06
CAPE MORETON LIGHTHOUSE,12/03/2018, , , , , , , , ,19.36
CAPE MORETON LIGHTHOUSE,13/03/2018, , , , , ,100,73,10.88,13.61
CAPE MORETON LIGHTHOUSE,14/03/2018, , , ,25.9, ,95,62,15.56,20.36
CAPE MORETON LIGHTHOUSE,15/03/2018,3.9,3.4, ,25.9,21.4,100,72,12.45,20.56
CAPE MORETON LIGHTHOUSE,16/03/2018,4.5,0.2, ,26.5,20.7,97,69,8.51,23.56
CAPE MORETON LIGHTHOUSE,17/03/2018,5.3,0.0, ,27.0,23.3,85,66,9.14,22.56
CAPE MORETON LIGHTHOUSE,18/03/2018,3.5,1.0, ,28.2,23.3,100,79,6.38,18.06
CAPE MORETON LIGHTHOUSE,19/03/2018,4.0,0.2, ,28.0,23.5,100,75,6.06,21.02
CAPE MORETON LIGHTHOUSE,20/03/2018,4.5,2.6, ,27.2,23.0,99,67,9.09,21.10
CAPE MORETON LIGHTHOUSE,21/03/2018,2.9,0.8, ,25.3,21.1,100,76,14.66,12.08
CAPE MORETON LIGHTHOUSE,22/03/2018,4.6,1.8, ,26.5,21.5,99,64,12.71,20.89
CAPE MORETON LIGHTHOUSE,23/03/2018,4.5,0.8, ,26.9,21.6,92,68,11.27,18.77
CAPE MORETON LIGHTHOUSE,24/03/2018,4.6,0.4, ,26.4,22.1,82,67,8.89,16.37
CAPE MORETON LIGHTHOUSE,25/03/2018,2.8,0.0, ,25.4,22.5,100,72,6.73,11.50
CAPE MORETON LIGHTHOUSE,26/03/2018,3.2,14.0, ,27.1,21.2,100,82,3.84,17.49
CAPE MORETON LIGHTHOUSE,27/03/2018,1.6,0.0, ,25.9,23.4,100,88,8.34,6.96
CAPE MORETON LIGHTHOUSE,28/03/2018,4.0,0.0, ,26.2,22.4,99,73,13.96,20.53
CAPE MORETON LIGHTHOUSE,29/03/2018,3.0,2.6, ,26.4,22.5,100,80,14.47,14.98
CAPE MORETON LIGHTHOUSE,30/03/2018,3.3,0.8, ,27.2,22.8,100,79,10.58,17.03
CAPE MORETON LIGHTHOUSE,31/03/2018,4.2,0.0, ,27.0,23.2,93,72,11.36,18.68
Totals:,,64.4,28.6, ,,,,,, 
