Date/Time,Hs,Hmax,Tp,Tz,Peak Direction,SST
2019-01-01 00:00:00,1.440,2.400,8.813,5.677,71.00,25.550
2019-01-01 00:30:00,1.448,2.690,8.845,5.544,70.00,25.500
2019-01-01 01:00:00,1.395,2.950,8.429,5.272,77.00,25.450
2019-01-01 01:30:00,1.450,2.220,8.800,5.853,70.00,25.450
2019-01-01 02:00:00,1.351,2.350,8.910,5.525,74.00,25.400
2019-01-01 02:30:00,1.436,2.640,7.816,5.573,70.00,25.350
2019-01-01 03:00:00,1.429,2.520,8.890,5.594,80.00,25.300
2019-01-01 03:30:00,1.313,2.020,8.485,5.449,71.00,25.250
2019-01-01 04:00:00,1.347,2.670,9.224,5.315,83.00,25.250
2019-01-01 04:30:00,1.443,2.150,8.340,5.743,71.00,25.200
2019-01-01 05:00:00,1.503,3.020,8.957,5.968,73.00,25.200
2019-01-01 05:30:00,1.490,2.410,8.497,6.150,67.00,25.200
2019-01-01 06:00:00,1.384,2.620,8.523,5.845,77.00,25.200
2019-01-01 06:30:00,1.370,2.170,8.567,5.911,71.00,25.200
2019-01-01 07:00:00,1.423,2.440,8.501,5.756,70.00,25.200
2019-01-01 07:30:00,1.424,2.160,8.855,6.126,81.00,25.200
2019-01-01 08:00:00,1.312,1.890,8.876,5.874,78.00,25.250
2019-01-01 08:30:00,1.380,2.610,8.999,5.805,68.00,25.250
2019-01-01 09:00:00,1.312,2.090,8.621,5.733,80.00,25.300
2019-01-01 09:30:00,1.448,2.320,9.285,5.752,80.00,25.400
2019-01-01 10:00:00,1.497,2.400,8.979,5.986,67.00,25.450
2019-01-01 10:30:00,1.501,2.440,8.509,6.136,73.00,25.550
2019-01-01 11:00:00,1.397,2.740,9.245,5.890,71.00,25.650
2019-01-01 11:30:00,1.362,2.560,8.220,5.835,67.00,25.750
2019-01-01 12:00:00,1.383,2.610,9.315,6.184,74.00,25.900
2019-01-01 12:30:00,1.409,2.080,9.186,5.802,77.00,25.850
2019-01-01 13:00:00,1.387,2.040,8.876,6.026,87.00,25.850
2019-01-01 13:30:00,1.309,2.360,9.151,5.923,75.00,25.900
2019-01-01 14:00:00,1.296,2.390,9.259,5.904,78.00,25.950
2019-01-01 14:30:00,1.312,2.120,9.206,6.100,80.00,25.950
2019-01-01 15:00:00,1.411,2.250,9.145,6.342,85.00,25.950
2019-01-01 15:30:00,1.382,2.230,9.473,6.372,80.00,25.900
2019-01-01 16:00:00,1.326,2.150,9.273,6.000,73.00,25.900
